# converted from stack_master/maps/f/global_waypoints.json (global_traj_wpnts_iqp)
# fields_id_unused
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
6.998245919529318293e+00;-7.489566580263788076e+00;-1.585374575754248916e+01;1.619496712047697073e+00;5.041466334581881821e-03;8.616360052293844163e+00;4.362573373636923435e+00;2.183352307801782022e+00;3.681054871656896932e-01
7.098220861236879564e+00;-7.494458152967029108e+00;-1.575389063672031575e+01;1.619986257786081296e+00;4.751911184147297393e-03;8.666830827252473668e+00;4.333077851064512487e+00;2.188245571733380412e+00;3.632379891317044640e-01
7.198195802944441724e+00;-7.499397171001846552e+00;-1.565403769750590079e+01;1.620446848357770309e+00;4.461874866794471491e-03;8.716671096201967117e+00;4.303931473876744462e+00;2.193186313074825033e+00;3.583240690726268163e-01
7.298170744652002995e+00;-7.504380721968646917e+00;-1.555418712719515106e+01;1.620878375132217553e+00;4.170832353982649801e-03;8.765895595761515224e+00;4.275126344607708795e+00;2.198171623209880021e+00;3.533666998019737715e-01
7.398145686359565154e+00;-7.509405916450031526e+00;-1.545433847744358147e+01;1.621280807717857098e+00;3.879901821711175067e-03;8.814518512657420146e+00;4.246654856517270815e+00;2.203198605483791539e+00;3.483687814424165641e-01
7.498120628067126425e+00;-7.514469832996834242e+00;-1.535449194846021292e+01;1.621654168737942436e+00;3.589197898186583836e-03;8.862553512021536406e+00;4.218509678719058797e+00;2.208264342459846041e+00;3.492679318726487070e-01
7.598095569774688585e+00;-7.519569585513373511e+00;-1.525464707894574268e+01;1.621998467312566472e+00;3.298479189392383281e-03;8.910013763844066403e+00;4.190683742275531642e+00;2.213365940547967092e+00;3.775984582578617021e-01
7.698070511482249856e+00;-7.524702254650576627e+00;-1.515480406079564268e+01;1.622313697906826224e+00;3.007719383968831834e-03;8.956911967725726953e+00;4.163170227184646244e+00;2.218500484268861594e+00;3.819427532055915120e-01
7.798045453189812015e+00;-7.529864954389843490e+00;-1.505496242854827749e+01;1.622599860698634711e+00;2.716968869442192448e-03;9.003260376061065884e+00;4.135962550186834008e+00;2.223665080001538286e+00;3.767844719900285688e-01
7.898020394897373286e+00;-7.535054765406984600e+00;-1.495512236402553974e+01;1.622856955954821379e+00;2.426230633989921899e-03;9.049070815772767062e+00;4.109054353332743048e+00;2.213531922152009113e+00;3.715992910422172835e-01
