x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
6.258845,9.777192,0.6676,0.6788,2.785131,0.092809,6.5656
6.164986,9.811649,0.6679,0.6807,2.794364,0.091882,6.5917
6.070962,9.845190,0.6695,0.6932,2.803491,0.090963,6.6178
5.976481,9.877930,0.6678,0.6948,2.812536,0.089962,6.6439
5.881873,9.909763,0.6685,0.7023,2.821467,0.088963,6.6701
5.786819,9.940810,0.6532,0.7040,2.830310,0.087898,6.6963
5.691666,9.970967,0.6539,0.7085,2.839030,0.086827,6.7227
5.596085,10.000349,0.6482,0.7107,2.847656,0.085705,6.7492
5.500425,10.028862,0.6484,0.7117,2.856155,0.084573,6.7759
5.404364,10.056612,0.6503,0.7088,2.864555,0.083439,6.8027
5.308232,10.083517,0.6502,0.6825,2.872826,0.082279,6.8298
5.211737,10.109670,0.6427,0.6330,2.880993,0.081088,6.8570
5.115167,10.135006,0.6421,0.5646,2.889028,0.079922,6.8846
5.018279,10.159600,0.6450,0.5060,2.896971,0.078986,6.9123
4.921308,10.183401,0.6440,0.4611,2.904807,0.077872,6.9401
4.824067,10.206469,0.6526,0.4156,2.912512,0.076302,6.9681
4.726733,10.228777,0.6511,0.3622,2.920069,0.075920,6.9966
4.629177,10.250356,0.6605,0.3304,2.927771,0.078216,7.0248
4.531494,10.271165,0.6586,0.3117,2.935682,0.079905,7.0509
4.433621,10.291199,0.6532,0.2772,2.943707,0.080725,7.0752
4.335601,10.310441,0.6381,0.2757,2.951799,0.081087,7.0985
4.237418,10.328890,0.6189,0.2985,2.959891,0.080887,7.1211
4.139098,10.346545,0.6087,0.3003,2.967963,0.080856,7.1433
4.040627,10.363406,0.5887,0.3327,2.976050,0.081014,7.1651
3.942037,10.379468,0.5861,0.3816,2.984151,0.081252,7.1864
3.843297,10.394732,0.5753,0.4101,2.992285,0.081559,7.2071
3.744465,10.409187,0.5727,0.4583,3.000449,0.081956,7.1878
3.645478,10.422838,0.5791,0.5209,3.008661,0.082408,7.1621
3.546429,10.435667,0.5765,0.5753,3.016916,0.082921,7.1361
3.447221,10.447682,0.5573,0.6279,3.025230,0.083463,7.1100
3.347979,10.458863,0.5547,0.6903,3.033594,0.084048,7.0838
3.248574,10.469217,0.5519,0.7196,3.042024,0.084648,7.0575
3.149164,10.478723,0.5494,0.7282,3.050508,0.085272,7.0311
3.049591,10.487389,0.5650,0.7372,3.059062,0.085903,7.0046
2.950036,10.495193,0.5623,0.7464,3.067672,0.086540,6.9780
2.850325,10.502143,0.5496,0.7515,3.076354,0.087182,6.9513
2.750650,10.508218,0.5469,0.7611,3.085092,0.087814,6.9245
