x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
6.698464,1.108548,0.4083,1.1359,0.111068,-0.011444,8.3132
6.797767,1.119568,0.4194,1.1548,0.109982,-0.010300,8.2520
6.897082,1.130485,0.3939,1.1683,0.109010,-0.009151,8.1900
6.996406,1.141320,0.3904,1.1607,0.108410,-0.002851,8.1271
7.095732,1.152127,0.4012,1.1500,0.108440,0.003467,8.0635
7.195055,1.162970,0.4120,1.1478,0.109165,0.011053,7.9989
7.294366,1.173922,0.4230,1.1542,0.110649,0.018644,7.9335
7.393656,1.185060,0.4176,1.1664,0.112891,0.026234,7.8672
7.492917,1.196458,0.4053,1.1550,0.115891,0.033825,7.7999
7.592138,1.208192,0.4073,1.1448,0.119653,0.041483,7.7316
7.691310,1.220336,0.4080,1.1428,0.124181,0.049142,7.6623
7.790421,1.232968,0.3900,1.1491,0.129486,0.057066,7.5920
7.889458,1.246165,0.3976,1.1634,0.135584,0.064992,7.5205
7.988408,1.260004,0.4099,1.1853,0.142477,0.072987,7.4480
8.087254,1.274565,0.4212,1.1939,0.150169,0.080986,7.3742
8.185978,1.289925,0.4097,1.1939,0.158660,0.088989,7.2993
8.284563,1.306162,0.4089,1.1993,0.167951,0.097000,7.2231
8.382985,1.323354,0.4245,1.1980,0.178043,0.105019,7.1456
8.481221,1.341578,0.4425,1.2023,0.188937,0.113050,7.0668
8.579245,1.360910,0.4616,1.1980,0.200634,0.121094,6.9865
8.677028,1.381427,0.4533,1.1929,0.213136,0.129156,6.9048
8.774539,1.403203,0.4544,1.1950,0.226444,0.137239,6.8215
8.871741,1.426315,0.4777,1.1905,0.240560,0.145348,6.7394
8.968597,1.450836,0.5023,1.1827,0.255489,0.153486,6.6594
9.065066,1.476839,0.5279,1.1747,0.271232,0.161660,6.5814
9.161102,1.504397,0.5330,1.1482,0.287794,0.169876,6.5055
9.256656,1.533581,0.5450,1.1283,0.305179,0.178140,6.4315
9.351676,1.564461,0.5654,1.1152,0.323393,0.186459,6.3594
9.446104,1.597105,0.5980,1.1059,0.342441,0.194843,6.2891
9.539878,1.631582,0.6236,1.0813,0.362330,0.203299,6.2207
9.632933,1.667956,0.6336,1.0636,0.383068,0.211839,6.1541
9.725196,1.706291,0.6574,1.0468,0.404664,0.220473,6.0894
9.816593,1.746649,0.6968,1.0166,0.427128,0.229213,6.0264
9.907042,1.789090,0.7387,0.9933,0.450470,0.238072,5.9653
9.996455,1.833670,0.7825,0.9691,0.474705,0.247065,5.9062
10.084741,1.880443,0.8032,0.9321,0.499845,0.256207,5.8489
10.171800,1.929461,0.8377,0.9022,0.525908,0.265517,5.7937
10.257528,1.980771,0.8845,0.8801,0.552908,0.275011,5.7406
10.341813,2.034416,0.9252,0.8468,0.580869,0.284713,5.6898
10.424539,2.090438,0.9628,0.8110,0.609809,0.294643,5.6413
10.505579,2.148869,1.0063,0.7522,0.639755,0.304828,5.5955
10.584803,2.209743,1.0599,0.6968,0.670731,0.315293,5.5525
10.662068,2.273080,1.1224,0.6493,0.702769,0.326072,5.5126
10.737231,2.338902,1.1879,0.6113,0.735900,0.337193,5.4762
10.810132,2.407217,1.2565,0.5544,0.770161,0.348697,5.4436
10.880609,2.478031,1.3095,0.4943,0.805592,0.360622,5.4153
10.948489,2.551336,1.3601,0.4453,0.842239,0.373016,5.3918
11.013590,2.627121,1.4189,0.4114,0.880147,0.385917,5.3739
11.075720,2.705358,1.4850,0.3963,0.919374,0.399393,5.3622
11.134686,2.786009,1.4891,0.3809,0.959741,0.408746,5.3549
11.190308,2.868997,1.4199,0.3832,1.001077,0.418801,5.3529
11.242436,2.954225,1.3443,0.4067,1.042525,0.410881,5.3508
11.291023,3.041522,1.2751,0.4357,1.083206,0.403576,5.3531
11.336057,3.130703,1.2127,0.4731,1.122964,0.392344,5.3592
11.377561,3.221580,1.1531,0.5240,1.161626,0.381678,5.3707
11.415569,3.313975,1.1028,0.5847,1.199251,0.371559,5.3871
11.450122,3.407717,1.0479,0.6379,1.235890,0.361945,5.4075
11.481263,3.502647,0.9875,0.6766,1.271593,0.352807,5.4316
11.509039,3.598617,0.9370,0.7241,1.306404,0.344102,5.4587
11.533499,3.695484,0.8981,0.7788,1.340367,0.335803,5.4884
11.554696,3.793118,0.8628,0.8195,1.373519,0.327879,5.5205
11.572683,3.891394,0.8348,0.8595,1.405898,0.320306,5.5546
11.587517,3.990196,0.7939,0.8912,1.437535,0.313059,5.5905
11.599253,4.089413,0.7670,0.9226,1.468465,0.306118,5.6278
11.607949,4.188943,0.7483,0.9566,1.498715,0.299462,5.6664
11.613663,4.288688,0.7154,0.9827,1.528314,0.293073,5.7061
11.616455,4.388559,0.6984,1.0152,1.557287,0.286934,5.7468
11.616382,4.488468,0.6838,1.0311,1.585659,0.281032,5.7883
11.613505,4.588337,0.6625,1.0499,1.613452,0.275349,5.8305
11.607881,4.688088,0.6405,1.0620,1.640688,0.269875,5.8733
11.599569,4.787652,0.6233,1.0762,1.667386,0.264596,5.9167
11.588629,4.886961,0.5895,1.0958,1.693567,0.259502,5.9605
11.575118,4.985953,0.5642,1.1024,1.719247,0.254581,6.0046
11.559093,5.084570,0.5585,1.1035,1.744444,0.249826,6.0491
11.540611,5.182756,0.5560,1.1010,1.769174,0.245226,6.0938
11.519730,5.280460,0.5574,1.1051,1.793452,0.240773,6.1387
11.496504,5.377634,0.5578,1.0927,1.817291,0.236458,6.1838
11.470989,5.474231,0.5388,1.0844,1.840707,0.232276,6.2290
11.443240,5.570211,0.5343,1.0830,1.863710,0.228218,6.2744
11.413309,5.665533,0.5411,1.0717,1.886314,0.224280,6.3198
11.381249,5.760161,0.5436,1.0582,1.908531,0.220453,6.3653
11.347114,5.854059,0.5527,1.0463,1.930370,0.216734,6.4108
11.310952,5.947197,0.5620,1.0294,1.951843,0.213116,6.4564
11.272816,6.039543,0.5903,1.0199,1.972960,0.209595,6.5020
